station_id,station_name,obs_time,latitude_wgs84,longitude_wgs84,latitude_twd67,longitude_twd67,altitude,county_name,town_name,county_code,town_code,weather,visibility_description,sunshine_duration,precipitation,wind_direction,wind_speed,air_temperature,relative_humidity,air_pressure,uv_index,max_10min_wind_speed,max_10min_wind_direction,max_10min_wind_time,peak_gust_speed,peak_gust_wind_direction,peak_gust_time,daily_high_temperature,daily_high_temperature_time,daily_low_temperature,daily_low_temperature_time
466940,基隆,2026-07-02T10:30:00+08:00,25.133314,121.740475,25.135104,121.732242,26.7,基隆市,仁愛區,10017,10017040,晴,>30,4.7,0.0,30.0,3.2,30.6,74.0,1008.3,10.0,3.0,30.0,2026-07-02T09:42:00+08:00,4.2,30.0,2026-07-02T09:42:00+08:00,30.9,2026-07-02T09:56:00+08:00,26.5,2026-07-02T04:59:00+08:00
466900,淡水,2026-07-02T10:30:00+08:00,25.164889,121.448906,25.166664,121.440672,19.0,新北市,淡水區,65000,65000100,晴,>30,,,,,,,,,,,,,,,,,,
466881,新北,2026-07-02T10:30:00+08:00,24.959207,121.525196,24.96099,121.516977,24.5,新北市,新店區,65000,65000060,晴,>30,4.9,0.0,60.0,1.4,32.9,61.0,1008.3,9.0,1.5,290.0,2026-07-02T09:44:00+08:00,3.2,310.0,2026-07-02T09:42:00+08:00,33.1,2026-07-02T10:28:00+08:00,24.3,2026-07-02T05:15:00+08:00
466930,陽明山,2026-07-02T10:30:00+08:00,25.162078,121.544547,25.163858,121.536313,607.1,臺北市,北投區,63000,63000120,晴,,2.9,0.0,250.0,0.5,26.7,86.0,944.4,6.0,1.5,210.0,2026-07-02T09:23:00+08:00,3.1,220.0,2026-07-02T09:22:00+08:00,26.9,2026-07-02T09:35:00+08:00,22.4,2026-07-02T03:48:00+08:00
466910,鞍部,2026-07-02T10:30:00+08:00,25.182586,121.529731,25.184365,121.521495,837.6,臺北市,北投區,63000,63000120,晴,>30,4.2,0.0,140.0,1.6,27.8,76.0,,9.0,1.6,200.0,2026-07-02T09:44:00+08:00,4.1,170.0,2026-07-02T09:44:00+08:00,27.9,2026-07-02T10:00:00+08:00,20.4,2026-07-02T03:57:00+08:00
467571,新竹,2026-07-02T10:30:00+08:00,24.828575,121.01445,24.830335,121.006343,26.9,新竹縣,竹北市,10004,10004010,多雲,>30,1.8,0.0,290.0,2.0,30.5,75.0,1008.5,5.0,1.7,300.0,2026-07-02T09:34:00+08:00,3.9,290.0,2026-07-02T09:29:00+08:00,31.6,2026-07-02T09:46:00+08:00,26.2,2026-07-02T05:00:00+08:00
467490,臺中,2026-07-02T10:30:00+08:00,24.145736,120.684075,24.147494,120.675919,84.0,臺中市,北區,66000,66000050,多雲,>30,1.6,0.0,290.0,0.7,31.7,71.0,1001.7,6.0,1.6,220.0,2026-07-02T09:36:00+08:00,3.9,210.0,2026-07-02T09:30:00+08:00,32.0,2026-07-02T10:01:00+08:00,27.4,2026-07-02T01:38:00+08:00
C0FA30,梧棲,2026-07-02T10:30:00+08:00,24.256003,120.523381,24.257753,120.515211,31.7,臺中市,梧棲區,66000,66000140,多雲,,,0.0,320.0,3.5,29.8,83.0,,,3.6,320.0,2026-07-02T09:54:00+08:00,5.5,320.0,2026-07-02T09:53:00+08:00,29.9,2026-07-02T10:22:00+08:00,27.9,2026-07-02T04:24:00+08:00
467350,澎湖,2026-07-02T10:30:00+08:00,23.565503,119.563094,23.56722,119.554987,10.7,澎湖縣,馬公市,10016,10016010,晴,>30,2.0,0.0,340.0,1.2,29.7,81.0,1010.7,5.0,1.9,360.0,2026-07-02T09:39:00+08:00,3.5,360.0,2026-07-02T09:39:00+08:00,30.4,2026-07-02T09:17:00+08:00,26.8,2026-07-02T03:15:00+08:00
467650,日月潭,2026-07-02T10:30:00+08:00,23.881325,120.90805,23.883099,120.899911,1017.5,南投縣,魚池鄉,10008,10008090,晴,7-10,2.1,0.0,300.0,0.3,25.8,89.0,,6.0,0.5,330.0,2026-07-02T09:05:00+08:00,1.7,340.0,2026-07-02T09:05:00+08:00,27.9,2026-07-02T10:09:00+08:00,21.1,2026-07-02T05:24:00+08:00
